template,nonholdout_n,nonholdout_sessions,top_action,top_count,purity,holdout_n,nonholdout_action_counts,example_prompt,holdout_non_au_matches,changed_rows,fixed,broken,wrong_to_wrong,macro_f1,delta_vs_base,passes_judge_gate,passes_safe_gate
그런 변수는 없네. wait 옵션을 넣긴 해야할거같은데 우리가 어떤 환경 기준으로 맞추면 될지 헷갈려요,4,4,plan_task,4,1.0,0,"{""plan_task"": 4}",그런 변수는 없네. wait 옵션을 넣긴 해야할거같은데 우리가 어떤 환경 기준으로 맞추면 될지 헷갈려요,0,0,0,0,0,0.7387722812652203,0.0,False,False
"근데 이거 고치는 방향이 두 갠데. None일 때 기본값을 줄지, 아니면 위에서 에러로 막을지. 어느 쪽이 맞는지 모르겠어",4,4,ask_user,4,1.0,0,"{""ask_user"": 4}","근데 이거 고치는 방향이 두 갠데. None일 때 기본값을 줄지, 아니면 위에서 에러로 막을지. 어느 쪽이 맞는지 모르겠어",0,0,0,0,0,0.7387722812652203,0.0,False,False
누가 오타냈네 <NUM>.9가 뭐야. <NUM>.4로 고쳐줘,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",누가 오타냈네 99.9가 뭐야. 2.1.4로 고쳐줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
다시 린트,4,4,lint_or_typecheck,4,1.0,0,"{""lint_or_typecheck"": 4}",다시 린트,0,0,0,0,0,0.7387722812652203,0.0,False,False
방금 날린 <<IDENT>> 원래 <IDENT> <NUM>-><NUM> 매핑이었는데 그대로 복구되게 다시 써줘,4,4,write_file,4,1.0,0,"{""write_file"": 4}",방금 날린 application.yml 원래 ClusterIP 80->8080 매핑이었는데 그대로 복구되게 다시 써줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
세 군데나 박혀있네 ㅋㅋ staging이랑 mart에서 그 필터 같이 걷어내고 활성여부는 컬럼으로만 들고가게 바꿔줘,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",세 군데나 박혀있네 ㅋㅋ staging이랑 mart에서 그 필터 같이 걷어내고 활성여부는 컬럼으로만 들고가게 바꿔줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
아 listUsers들이 옛날 시그니처 기대하고 있네. 페이지 응답 기대하게 테스트 수정해줘,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",아 listUsers들이 옛날 시그니처 기대하고 있네. 페이지 응답 기대하게 테스트 수정해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
아 핸들 변수 스코프 밖에 선언 안했네 그거 고쳐줘,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",아 핸들 변수 스코프 밖에 선언 안했네 그거 고쳐줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
여기도 11이네 -_-. 17로 바꿔,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",여기도 11이네 -_-. 17로 바꿔,0,0,0,0,0,0.7387722812652203,0.0,False,False
좋아 그 1단계대로 헤더 컴포넌트 파일부터 새로 만들어줘,4,4,write_file,4,1.0,0,"{""write_file"": 4}",좋아 그 1단계대로 헤더 컴포넌트 파일부터 새로 만들어줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
추가하는 게 맞아요. 그럼 serializer fields에 updated_at 넣어줘,4,4,edit_file,4,1.0,0,"{""edit_file"": 4}",추가하는 게 맞아요. 그럼 serializer fields에 updated_at 넣어줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
executor 는 맞게 돼 있고 parallelism 값이 너무 낮네. 거기 값만 32로 올리게 살짝 고쳐줘,3,3,edit_file,3,1.0,1,"{""edit_file"": 3}",executor 는 맞게 돼 있고 parallelism 값이 너무 낮네. 거기 값만 32로 올리게 살짝 고쳐줘,1,0,0,0,0,0.7387722812652203,0.0,False,False
now drop some baseline styles for the hero into the stylesheet,3,3,write_file,3,1.0,1,"{""write_file"": 3}",now drop some baseline styles for the hero into the stylesheet,1,0,0,0,0,0.7387722812652203,0.0,False,False
only build and test targets. add a lint one that runs go vet,3,3,edit_file,3,1.0,1,"{""edit_file"": 3}",only build and test targets. add a lint one that runs go vet,0,0,0,0,0,0.7387722812652203,0.0,False,False
torch 버전 핀이랑 빌드 캐시 순서 꼬여있어. Dockerfile 레이어 순서 정리해서 통째로 새로 써줘,3,3,write_file,3,1.0,1,"{""write_file"": 3}",torch 버전 핀이랑 빌드 캐시 순서 꼬여있어. Dockerfile 레이어 순서 정리해서 통째로 새로 써줘,1,0,0,0,0,0.7387722812652203,0.0,False,False
"yeah theres no dispatch, theres execute. so someone renamed it and forgot a caller. where's dispatch still being called from?",3,3,grep_search,3,1.0,1,"{""grep_search"": 3}","yeah theres no dispatch, theres execute. so someone renamed it and forgot a caller. where's dispatch still being called from?",1,0,0,0,0,0.7387722812652203,0.0,False,False
9군데... 손으로 고치다 빠뜨릴 듯 ㅠ d_m -> d_model 로 그 파일 안에서 다 바꿔줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",9군데... 손으로 고치다 빠뜨릴 듯 ㅠ d_m -> d_model 로 그 파일 안에서 다 바꿔줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
<<IDENT>> scripts에 coverage 명령 하나 추가해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",app/page.tsx scripts에 coverage 명령 하나 추가해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
<IDENT> 안 박혀있어서 기본값이네. Dockerfile에서 와일드카드로 받게 한 줄 손보자,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",archiveFileName 안 박혀있어서 기본값이네. Dockerfile에서 와일드카드로 받게 한 줄 손보자,0,0,0,0,0,0.7387722812652203,0.0,False,False
@/lib alias 동작 확인용으로 <<IDENT>> barrel 파일 하나 새로 만들어줘,3,3,write_file,3,1.0,0,"{""write_file"": 3}",@/lib alias 동작 확인용으로 lib/index.ts barrel 파일 하나 새로 만들어줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
ClusterIP네. 외부 노출하려면 NodePort로 바꿔야 하는데 그 type 줄 수정해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",ClusterIP네. 외부 노출하려면 NodePort로 바꿔야 하는데 그 type 줄 수정해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
Dockerfile도 캐시 깨지게 빌드 인자 한 줄 손봐야해,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",Dockerfile도 캐시 깨지게 빌드 인자 한 줄 손봐야해,0,0,0,0,0,0.7387722812652203,0.0,False,False
Level 타입이랑 상수는 새 파일로 빼는 게 깔끔하겠다,3,3,write_file,3,1.0,0,"{""write_file"": 3}",Level 타입이랑 상수는 새 파일로 빼는 게 깔끔하겠다,0,0,0,0,0,0.7387722812652203,0.0,False,False
MEDIA_URL이랑 MEDIA_ROOT가 안 보이네... 그거 둘 다 추가해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",MEDIA_URL이랑 MEDIA_ROOT가 안 보이네... 그거 둘 다 추가해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
"Printf에 포맷 안 맞는 인자 들어간 거랑 안 쓰는 변수 두 갠데, 그거 정리해줘",3,3,edit_file,3,1.0,0,"{""edit_file"": 3}","Printf에 포맷 안 맞는 인자 들어간 거랑 안 쓰는 변수 두 갠데, 그거 정리해줘",0,0,0,0,0,0.7387722812652203,0.0,False,False
and run the suite too,3,3,run_bash,3,1.0,0,"{""run_bash"": 3}",and run the suite too,0,0,0,0,0,0.7387722812652203,0.0,False,False
assertNumQueries로 잡는 패턴이 이미 있네. 같은 식으로 어드민 목록 쿼리 카운트 검증 테스트 새로 작성하자,3,3,write_file,3,1.0,0,"{""write_file"": 3}",assertNumQueries로 잡는 패턴이 이미 있네. 같은 식으로 어드민 목록 쿼리 카운트 검증 테스트 새로 작성하자,0,0,0,0,0,0.7387722812652203,0.0,False,False
backend 블록 이미 정의된 데 있는지 찾아봐,3,3,grep_search,3,1.0,0,"{""grep_search"": 3}",backend 블록 이미 정의된 데 있는지 찾아봐,0,0,0,0,0,0.7387722812652203,0.0,False,False
backend 블록 자체가 없네. s3 백엔드로 새로 넣어줘. 버킷이름이랑 region은 변수로 빼고,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",backend 블록 자체가 없네. s3 백엔드로 새로 넣어줘. 버킷이름이랑 region은 변수로 빼고,0,0,0,0,0,0.7387722812652203,0.0,False,False
build it for prod and confirm no warning,3,3,run_tests,3,1.0,0,"{""run_tests"": 3}",build it for prod and confirm no warning,0,0,0,0,0,0.7387722812652203,0.0,False,False
ci 워크플로에도 이 서비스 배포 스텝 끼워넣어줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",ci 워크플로에도 이 서비스 배포 스텝 끼워넣어줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
compute_precision_recall 옆에다가 macro_f1 계산하는 거 붙여줘. 클래스별 f1 평균내는 방식으로,3,3,apply_patch,3,1.0,0,"{""apply_patch"": 3}",compute_precision_recall 옆에다가 macro_f1 계산하는 거 붙여줘. 클래스별 f1 평균내는 방식으로,0,0,0,0,0,0.7387722812652203,0.0,False,False
decode쪽도 같이 맞춰야지,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",decode쪽도 같이 맞춰야지,0,0,0,0,0,0.7387722812652203,0.0,False,False
do we already have a retry helper anywhere? grep for retry,3,3,grep_search,3,1.0,0,"{""grep_search"": 3}",do we already have a retry helper anywhere? grep for retry,0,0,0,0,0,0.7387722812652203,0.0,False,False
does <<IDENT>> even boot? just run it,3,3,run_bash,3,1.0,0,"{""run_bash"": 3}",does app.py even boot? just run it,0,0,0,0,0,0.7387722812652203,0.0,False,False
dotenv 없네. 거기 한 줄 추가해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",dotenv 없네. 거기 한 줄 추가해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
dto 패키지에 <IDENT> 새로 빼서 파일 만들자,3,3,write_file,3,1.0,0,"{""write_file"": 3}",dto 패키지에 UserResponse 새로 빼서 파일 만들자,0,0,0,0,0,0.7387722812652203,0.0,False,False
fetchData가 이미 있네. 가벼운 차트 라이브러리 cdn으로 붙이는 거 요즘 뭐가 무난한지 한번 알아봐줘,3,3,ask_user,3,1.0,0,"{""ask_user"": 3}",fetchData가 이미 있네. 가벼운 차트 라이브러리 cdn으로 붙이는 거 요즘 뭐가 무난한지 한번 알아봐줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
"figured. open the test, see what it asserts",3,3,read_file,3,1.0,0,"{""read_file"": 3}","figured. open the test, see what it asserts",0,0,0,0,0,0.7387722812652203,0.0,False,False
hmm the props look off. fix the variant prop typing in there please,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",hmm the props look off. fix the variant prop typing in there please,0,0,0,0,0,0.7387722812652203,0.0,False,False
im about to split <IDENT> into two classes but honestly not sure of the cleanest way. can you sketch out the steps first before we touch anything?,3,3,ask_user,3,1.0,0,"{""ask_user"": 3}",im about to split UserService into two classes but honestly not sure of the cleanest way. can you sketch out the steps first before we touch anything?,0,0,0,0,0,0.7387722812652203,0.0,False,False
isAdmin 있네 굿. 이거 써서 헤더에 admin 배지 조건부로 띄우게 해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",isAdmin 있네 굿. 이거 써서 헤더에 admin 배지 조건부로 띄우게 해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
k go ahead and create <<IDENT>> with the shrunk down values,3,3,write_file,3,1.0,0,"{""write_file"": 3}",k go ahead and create src/train.py with the shrunk down values,0,0,0,0,0,0.7387722812652203,0.0,False,False
let's make sure it still compiles and builds,3,3,run_bash,3,1.0,0,"{""run_bash"": 3}",let's make sure it still compiles and builds,0,0,0,0,0,0.7387722812652203,0.0,False,False
messaging pod 한 줄 추가하고 platform 버전 13으로 올려줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",messaging pod 한 줄 추가하고 platform 버전 13으로 올려줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
no throttling anywhere in there. anyone else already pulling from a limiter helper?,3,3,grep_search,3,1.0,0,"{""grep_search"": 3}",no throttling anywhere in there. anyone else already pulling from a limiter helper?,0,0,0,0,0,0.7387722812652203,0.0,False,False
"only one usage, easy. that's in <<IDENT>> i bet — open it",3,3,grep_search,3,1.0,0,"{""grep_search"": 3}","only one usage, easy. that's in requirements.txt i bet — open it",0,0,0,0,0,0.7387722812652203,0.0,False,False
oof forgot the import lol. fix that,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",oof forgot the import lol. fix that,0,0,0,0,0,0.7387722812652203,0.0,False,False
paths에 stores alias 빠졌네. 추가해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",paths에 stores alias 빠졌네. 추가해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
plan 떠서 실제로 뭐 바뀌는지 확인하고 싶어,3,3,run_bash,3,1.0,0,"{""run_bash"": 3}",plan 떠서 실제로 뭐 바뀌는지 확인하고 싶어,0,0,0,0,0,0.7387722812652203,0.0,False,False
rewrite the Dockerfile to drop to a non-root user and pin the base tag,3,3,write_file,3,1.0,0,"{""write_file"": 3}",rewrite the Dockerfile to drop to a non-root user and pin the base tag,0,0,0,0,0,0.7387722812652203,0.0,False,False
run it,3,3,run_tests,3,1.0,0,"{""run_tests"": 3}",run it,0,0,0,0,0,0.7387722812652203,0.0,False,False
serde_json 디펜던시는 들어가 있나? <<IDENT>> 확인해서 없으면 추가,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",serde_json 디펜던시는 들어가 있나? src/schemas/user.py 확인해서 없으면 추가,0,0,0,0,0,0.7387722812652203,0.0,False,False
sklearn 안 쓰고 직접 짜는 게 나을까? 요즘 macro f1 구현 보통 어떻게들 하는지 좀 찾아봐줘,3,3,ask_user,3,1.0,0,"{""ask_user"": 3}",sklearn 안 쓰고 직접 짜는 게 나을까? 요즘 macro f1 구현 보통 어떻게들 하는지 좀 찾아봐줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
spring-boot-starter-cache 추가해줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",spring-boot-starter-cache 추가해줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
"store 정의랑 <IDENT> 호출부, 헤더까지 세 군데 한꺼번에 <IDENT> 로 일관되게 바꿔줘",3,3,edit_file,3,1.0,0,"{""edit_file"": 3}","store 정의랑 useAuth 호출부, 헤더까지 세 군데 한꺼번에 resetAuth 로 일관되게 바꿔줘",0,0,0,0,0,0.7387722812652203,0.0,False,False
tensor 타입 어노테이션 빠진 거였네. 그 부분 손봐줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",tensor 타입 어노테이션 빠진 거였네. 그 부분 손봐줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
test 타겟이 똑같은 명령을 두 줄 연속 갖고 있네 ㅋㅋ 중복 라인 정리하고 phony 목록도 맞춰줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",test 타겟이 똑같은 명령을 두 줄 연속 갖고 있네 ㅋㅋ 중복 라인 정리하고 phony 목록도 맞춰줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
tool 섹션에 ruff 룰 좀 넣어줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",tool 섹션에 ruff 룰 좀 넣어줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
try the build locally,3,3,run_bash,3,1.0,0,"{""run_bash"": 3}",try the build locally,0,0,0,0,0,0.7387722812652203,0.0,False,False
"we're adding a /healthz endpoint for the load balancer. first, what api routes do we already have?",3,3,list_directory,3,1.0,0,"{""list_directory"": 3}","we're adding a /healthz endpoint for the load balancer. first, what api routes do we already have?",0,0,0,0,0,0.7387722812652203,0.0,False,False
"yep there it is, no __str__ at all. add one that returns the username",3,3,edit_file,3,1.0,0,"{""edit_file"": 3}","yep there it is, no __str__ at all. add one that returns the username",0,0,0,0,0,0.7387722812652203,0.0,False,False
yep there's a training: block. add warmup_steps: <NUM> under it,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",yep there's a training: block. add warmup_steps: 500 under it,0,0,0,0,0,0.7387722812652203,0.0,False,False
거의 똑같네. 그럼 plugins 밑에 공용 헬퍼 파일 하나 새로 만들어줘,3,3,write_file,3,1.0,0,"{""write_file"": 3}",거의 똑같네. 그럼 plugins 밑에 공용 헬퍼 파일 하나 새로 만들어줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
규모가 작으니까 표준 csv면 되겠네요. 근데 혹시 모르니 지금 의존성에 뭐가 깔려 있는지 좀 보여줘요,3,3,read_file,3,1.0,0,"{""read_file"": 3}",규모가 작으니까 표준 csv면 되겠네요. 근데 혹시 모르니 지금 의존성에 뭐가 깔려 있는지 좀 보여줘요,0,0,0,0,0,0.7387722812652203,0.0,False,False
그 상태에서 ios 한번 띄워봐,3,3,run_bash,3,1.0,0,"{""run_bash"": 3}",그 상태에서 ios 한번 띄워봐,0,0,0,0,0,0.7387722812652203,0.0,False,False
그럼 알림설정 화면 새 파일로 하나 만들어줘. 기본 스캐폴드만 있으면 돼,3,3,write_file,3,1.0,0,"{""write_file"": 3}",그럼 알림설정 화면 새 파일로 하나 만들어줘. 기본 스캐폴드만 있으면 돼,0,0,0,0,0,0.7387722812652203,0.0,False,False
기존 list 테스트가 응답 포맷 바뀐 걸 모르네. 그 단언부 고쳐줘,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",기존 list 테스트가 응답 포맷 바뀐 걸 모르네. 그 단언부 고쳐줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
기존 순서 유지하는 쪽으로 해줘. 호환성 깨지면 안 되니까,3,3,edit_file,3,1.0,0,"{""edit_file"": 3}",기존 순서 유지하는 쪽으로 해줘. 호환성 깨지면 안 되니까,0,0,0,0,0,0.7387722812652203,0.0,False,False
다크모드 켜면 일부 화면 글자가 안 보여요. 색 토큰을 안 쓰고 하드코딩한 데가 있나본데 #fff 같은 거 다 찾아줘,3,3,grep_search,3,1.0,0,"{""grep_search"": 3}",다크모드 켜면 일부 화면 글자가 안 보여요. 색 토큰을 안 쓰고 하드코딩한 데가 있나본데 #fff 같은 거 다 찾아줘,0,0,0,0,0,0.7387722812652203,0.0,False,False
도커에서 이 env들 다 넘겨주는지 확인해야겠다 Dockerfile 봐,3,3,grep_search,3,1.0,0,"{""grep_search"": 3}",도커에서 이 env들 다 넘겨주는지 확인해야겠다 Dockerfile 봐,0,0,0,0,0,0.7387722812652203,0.0,False,False
두 개나? 어떤 케이스인지 테스트 파일 좀 열어봐,3,3,grep_search,3,1.0,0,"{""grep_search"": 3}",두 개나? 어떤 케이스인지 테스트 파일 좀 열어봐,0,0,0,0,0,0.7387722812652203,0.0,False,False
